Timestamp,Time_Sec,RPM,Speed_MPH,Coolant_F,Trans_Temp_F,Oil_Temp_F,Throttle_Pct,Engine_Load_Pct,MAF_gs,Battery_V
19:11:04.137,110.963,821.5,0.0,181.4,165.0,205.0,21.2,39.2,7.31,13.51
19:11:04.381,111.221,816.8,0.0,181.4,165.0,205.0,21.2,39.2,7.28,13.54
19:11:04.613,111.464,827.8,0.0,181.4,165.0,205.0,21.2,38.8,7.3,13.55
19:11:04.843,111.697,834.5,0.0,181.4,165.0,205.0,21.2,38.8,7.28,13.53
19:11:05.062,111.927,832.8,0.0,181.4,165.0,205.0,21.2,38.8,7.31,13.53
19:11:05.305,112.146,837.0,0.0,181.4,165.0,205.0,21.2,38.8,7.3,13.51
19:11:05.559,112.389,837.0,0.0,179.6,165.0,205.0,21.2,38.8,7.3,13.55
19:11:05.857,112.643,825.0,0.0,179.6,165.0,205.0,21.2,38.8,7.3,13.53
19:11:06.077,112.941,827.5,0.0,179.6,165.0,205.0,21.2,38.8,7.27,13.54
19:11:06.336,113.161,829.2,0.0,179.6,165.0,205.0,21.2,38.8,7.26,13.52
19:11:06.581,113.422,824.0,0.0,179.6,165.0,205.0,21.2,38.8,7.25,13.51
19:11:06.811,113.665,828.8,0.0,179.6,165.0,205.0,21.2,38.8,7.29,13.54
