Timestamp,Time_Sec,RPM,Speed_MPH,Coolant_F,Trans_Temp_F,Oil_Temp_F,Throttle_Pct,Engine_Load_Pct,MAF_gs,Battery_V
19:10:49.675,96.507,828.2,0.0,179.6,165.0,205.0,21.2,40.0,7.44,13.53
19:10:49.910,96.759,830.8,0.0,179.6,165.0,205.0,21.2,40.0,7.44,13.52
19:10:50.136,96.993,834.5,0.0,179.6,165.0,205.0,21.2,39.6,7.41,13.52
19:10:50.379,97.223,826.0,0.0,179.6,165.0,205.0,21.2,39.6,7.45,13.5
19:10:50.659,97.463,819.0,0.0,179.6,165.0,205.0,21.2,40.0,7.45,13.51
19:10:50.883,97.743,832.2,0.0,179.6,165.0,205.0,21.2,40.0,7.43,13.54
19:10:51.131,97.967,830.2,0.0,179.6,165.0,205.0,21.2,39.6,7.42,13.55
19:10:51.434,98.214,830.2,0.0,179.6,165.0,205.0,21.2,40.0,7.42,13.49
19:10:51.659,98.518,827.5,0.0,179.6,165.0,205.0,21.2,39.6,7.4,13.51
19:10:51.930,98.742,834.8,0.0,179.6,165.0,205.0,21.2,39.6,7.4,13.51
19:10:52.212,99.017,821.8,0.0,179.6,165.0,205.0,21.2,39.6,7.37,13.53
19:10:52.462,99.295,813.0,0.0,179.6,165.0,205.0,21.2,39.6,7.37,13.54
19:10:52.684,99.547,819.5,0.0,179.6,165.0,205.0,21.2,39.6,7.39,13.5
19:10:52.913,99.77,828.5,0.0,179.6,165.0,205.0,21.2,39.6,7.39,13.5
19:10:53.179,99.997,825.0,0.0,179.6,165.0,205.0,21.2,39.6,7.37,13.53
19:10:53.455,100.263,817.8,0.0,179.6,165.0,205.0,21.2,39.6,7.4,13.53
19:10:53.731,100.538,817.8,0.0,179.6,165.0,205.0,21.2,39.6,7.37,13.48
19:10:53.986,100.814,817.8,0.0,179.6,165.0,205.0,21.2,39.2,7.33,13.51
19:10:54.216,101.07,820.0,0.0,179.6,165.0,205.0,21.2,39.2,7.3,13.52
19:10:54.478,101.306,816.2,0.0,179.6,165.0,205.0,21.2,39.2,7.36,13.53
19:10:54.712,101.562,820.0,0.0,179.6,165.0,205.0,21.2,39.2,7.34,13.49
19:10:54.941,101.795,831.2,0.0,179.6,165.0,205.0,21.2,39.2,7.33,13.53
19:10:55.188,102.025,816.5,0.0,179.6,165.0,205.0,21.2,39.2,7.36,13.5
19:10:55.435,102.273,817.8,0.0,179.6,165.0,205.0,21.2,39.2,7.38,13.52
19:10:55.732,102.518,823.8,0.0,179.6,165.0,205.0,21.2,39.6,7.38,13.53
19:10:55.979,102.815,823.8,0.0,179.6,165.0,205.0,21.2,39.2,7.39,13.53
19:10:56.212,103.063,824.8,0.0,179.6,165.0,205.0,21.2,39.2,7.38,13.53
19:10:56.438,103.296,825.5,0.0,179.6,165.0,205.0,21.2,39.2,7.32,13.53
19:10:56.672,103.522,829.5,0.0,179.6,165.0,205.0,21.2,39.6,7.35,13.52
19:10:56.922,103.756,824.5,0.0,179.6,165.0,205.0,21.2,39.2,7.36,13.54
19:10:57.135,104.006,828.8,0.0,179.6,165.0,205.0,21.2,39.6,7.32,13.51
19:10:57.364,104.219,825.2,0.0,179.6,165.0,205.0,21.2,39.2,7.37,13.52
19:10:57.583,104.448,831.8,0.0,179.6,165.0,205.0,21.2,39.6,7.35,13.53
19:10:57.847,104.667,827.0,0.0,179.6,165.0,205.0,21.2,39.2,7.35,13.55
19:10:58.117,104.931,826.5,0.0,179.6,165.0,205.0,21.2,39.2,7.35,13.49
19:10:58.345,105.2,820.2,0.0,179.6,165.0,205.0,21.2,39.2,7.34,13.53
19:10:58.563,105.429,825.2,0.0,179.6,165.0,205.0,21.2,39.6,7.33,13.5
19:10:58.786,105.646,822.2,0.0,179.6,165.0,205.0,21.2,39.2,7.34,13.52
19:10:59.053,105.871,826.2,0.0,179.6,165.0,205.0,21.2,39.2,7.3,13.53
19:10:59.319,106.137,826.2,0.0,179.6,165.0,205.0,21.2,39.2,7.33,13.52
19:10:59.539,106.404,818.2,0.0,179.6,165.0,205.0,21.2,39.2,7.32,13.52
19:10:59.821,106.623,832.8,0.0,179.6,165.0,205.0,21.2,39.2,7.32,13.49
19:11:00.078,106.904,832.8,0.0,179.6,165.0,205.0,21.2,39.2,7.31,13.54
